TrialID,real-calc,x_pred,y_pred,x_Ljar,y_Ljar,x_Rjar,y_Rjar
Botia_lohachata_C_1,calc,1187.2784,-2.145775728,1053,534,1421.5,539.5
Botia_lohachata_C_2,calc,1181.416314,1.739220435,1059,540,1418.5,539.5
Botia_lohachata_C_3,calc,1181.416314,1.739220435,1059,540,1418.5,539.5
Botia_lohachata_C_4,calc,1197.034873,-58.26066905,1086,480,1412.5,479.5
Botia_lohachata_C_5,calc,1187.892642,-63.20627288,1089,477,1409.5,470.5
Botia_lohachata_C_7,calc,1210.069002,8.011237516,1086,543,1406.5,551.5
Botia_lohachata_C_8,calc,1197.140378,-58.26070244,1083,480,1418.5,479.5
Botia_lohachata_C_10,calc,1213.05866,11.88874699,1082,545.5,1406.5,557.5
Botia_lohachata_C_11,calc,1200.921917,9.870629342,1080,546,1406.5,551.5
Botia_lohachata_C_12,avg,1181.892439,14.78372918,1083,555,1403.5,548.5
Botia_lohachata_C_13,calc,1208.285364,11.01851906,1086,546,1400.5,554.5
Botia_lohachata_P_1,calc,1166.816458,-38.98150705,1100.5,506.5,1424.5,479.5
Botia_lohachata_P_2,calc,1163.253674,-32.57777041,1098,513,1421.5,485.5
Botia_lohachata_P_3,calc,1162.787725,-25.24924527,1089,519,1409.5,497.5
Botia_lohachata_P_4,calc,1229.79124,-64.58092265,1095,468,1418,482.5
Botia_lohachata_P_5,calc,1239.032872,-52.9659253,1095,477,1415,497.5
Botia_lohachata_P_6,real,1126,31.5,1076.5,622.5,1440.5,571.5
Botia_lohachata_P_7,real,1126.75,29.5,1076.166626,626.166687,1440.833374,572.166687
Botia_lohachata_P_8,real,1128,29.5,1075.5,623.5,1436.5,569.5
Botia_lohachata_P_9,real,1127,29,1069.5,615.5,1439.5,571.5
Botia_lohachata_P_10,real,1131,28,1073.5,626.833313,1439.5,572.166687
Botia_lohachata_P_11,real,1120,50,1078.5,558.5,1412.5,534.5
Botia_lohachata_P_12,real,1118,42,1072.5,547.166626,1393.166626,499.1666565
Botia_lohachata_P_13,real,1108.5,56.5,1077.5,555.5,1393.5,509.5
Botia_lohachata_P_14,real,1108.166626,43.5,1073.5,543.5,1392.5,505.5
Botia_lohachata_P_15,real,1105,37,1075.5,548.5,1418.5,514.5
Yasuhikotakia_modesta_C_1,calc,1110.714835,-22.00725896,1065,525,1379.5,488.5
Yasuhikotakia_modesta_C_2,calc,1112.665641,-25.18055503,1077,522,1382.5,482.5
Yasuhikotakia_modesta_C_3,calc,1126.829309,-15.79502909,1086,531,1391.5,494.5
Yasuhikotakia_modesta_C_4,calc,1150.649522,-16.76164922,1089,528,1394.5,503.5
Yasuhikotakia_modesta_C_5,calc,1146.91566,-11.38629349,1089,534,1397.5,506.5
Yasuhikotakia_modesta_C_6,calc,1102.023343,52.1773338,1029,603,1430.5,554.5
Yasuhikotakia_modesta_C_7,calc,1106.365119,49.3329473,1028.5,599.5,1430.5,554.5
Yasuhikotakia_modesta_C_8,calc,1082.496049,55.76100952,1029,609,1430.5,545.5
Yasuhikotakia_modesta_C_9,calc,1095.614089,54.20102927,1032,606,1430.5,551.5
Yasuhikotakia_modesta_C_10,calc,1091.396484,35.72263923,1017,588,1436.5,533.5
Yasuhikotakia_modesta_P_1,real,1118,39,1076.166626,583.166687,1405.5,526.5
Yasuhikotakia_modesta_P_2,real,1111,33,1071.5,577.5,1423.5,535.5
Yasuhikotakia_modesta_P_3,real,1114,33.5,1074.5,581.5,1423.5,536.5
Yasuhikotakia_modesta_P_4,real,1107,58,1025.5,609.5,1431.5,550.5
Yasuhikotakia_modesta_P_5,real,1107,58.5,1027.166626,604.166687,1428.5,545.5
Yasuhikotakia_modesta_P_6,real,1087,39,1044.5,592.5,1381.5,547.5
Yasuhikotakia_modesta_P_7,real,1087,38,1048.5,591.5,1380.5,543.5
Yasuhikotakia_modesta_P_8,real,1086,34,1046.5,594.5,1379.5,543.5
Yasuhikotakia_modesta_P_9,real,1094,33,1045.5,591.5,1380.5,543.5
Yasuhikotakia_modesta_P_10,real,1115,31,1056.5,572.5,1401.5,532.5
